TCGA-19-4065-02A-11R-2005-01,TCGA-19-0957-02A-11R-2005-01,TCGA-06-0152-02A-01R-2005-01,TCGA-14-1402-02A-01R-2005-01,TCGA-14-0736-02A-01R-2005-01,TCGA-06-5410-01A-01R-1849-01,TCGA-19-5960-01A-11R-1850-01,TCGA-14-0781-01B-01R-1849-01,TCGA-02-2483-01A-01R-1849-01,TCGA-06-2570-01A-01R-1849-01
0,0,0,0,0,2,63,0,0,0
0,0,0,0,0,32,1,18,0,2
0,0,0,0,0,0,35,0,0,0
0,0,0,0,0,1,21,1,1,4
0,0,0,0,0,0,13,4,0,8
0,0,0,0,0,0,0,0,23,2
0,0,0,0,0,0,0,0,0,23
0,0,0,0,0,0,22,0,2,1
0,1,0,0,15,0,0,0,0,0
3,1,0,1,20,1,1,0,0,1
1,1,0,1,18,0,1,0,0,0
0,1,0,16,1,0,0,0,0,0
15,1,1,4,5,2,0,0,0,0
0,0,0,5,17,0,0,0,0,1
0,0,2,0,20,0,0,1,0,0
0,0,0,4,21,0,0,0,2,0
1,15,1,0,3,0,0,0,0,0
3,0,7,2,8,0,0,0,0,0
0,3,2,2,24,0,3,0,0,1
1,1,0,0,29,2,0,1,0,1
0,8,0,5,17,3,0,0,0,0
0,0,0,1,26,0,1,1,0,0
0,0,0,21,0,0,0,0,0,0
1,2,1,0,28,0,2,1,1,0
1,1,0,24,0,0,1,0,0,0
21,2,2,3,2,1,0,0,1,0
12,1,1,1,21,3,1,0,0,1
0,0,20,1,2,0,0,0,0,0
0,0,9,13,6,0,1,0,0,0
33,2,1,0,0,1,0,0,2,0
0,0,4,0,19,0,0,0,0,0
0,30,0,0,0,1,0,0,0,0
0,0,0,0,23,0,0,0,0,0
0,4,0,23,15,0,2,4,0,0
0,0,19,10,2,0,0,0,1,0
0,6,5,4,18,1,0,1,0,0
0,1,0,0,31,0,1,0,0,1
26,1,10,0,2,0,3,0,0,0
1,3,2,3,21,0,1,0,0,0
0,1,0,4,28,2,0,0,0,0
0,4,0,28,3,2,0,0,0,0
0,0,1,1,38,3,0,2,0,0
28,0,0,5,0,0,1,0,0,0
4,2,2,4,28,1,2,1,0,0
10,0,6,29,0,1,2,2,0,0
27,1,0,4,10,0,0,4,0,0
0,1,0,2,28,1,0,0,0,0
2,0,1,0,23,0,0,0,0,0
0,0,0,0,37,0,0,3,0,0
0,2,0,10,20,1,0,0,0,0
3,11,0,8,28,0,4,3,0,1
2,3,0,0,43,1,2,2,1,1
0,42,3,2,0,2,0,2,0,0
5,2,35,6,0,1,2,0,1,0
0,1,0,34,0,0,1,0,0,0
37,1,4,0,9,0,3,2,0,1
2,39,0,0,0,0,1,0,1,0
0,1,1,4,37,0,2,0,1,1
0,14,0,1,39,9,0,0,0,0
36,0,0,0,1,0,0,0,0,1
32,2,2,1,4,1,0,0,1,0
0,24,0,0,12,0,0,1,0,0
0,6,0,46,0,0,0,1,1,4
