row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Status
ENSG00000046653	1108.59812915392	2.71782056058993	0.771533583528745	3.52262120355086	0.00042730160851185	0.00528715920009148	Upregulated
ENSG00000060718	335.346145943399	2.21451821207067	0.425640936464094	5.20278484129659	1.96324119510662e-07	6.69668646393914e-06	Upregulated
ENSG00000070388	10.7747815623296	2.50367225199085	0.635664985365843	3.93866629377095	8.19357961888226e-05	0.00134153257651861	Upregulated
ENSG00000081052	209.421196170264	2.00670714846108	0.426440094761822	4.70571874715926	2.52973084448746e-06	6.40055058804671e-05	Upregulated
ENSG00000096060	2630.23049426017	3.94505193427763	0.292884106018563	13.4696689004612	2.35921552414732e-41	3.24821082847374e-38	Upregulated
ENSG00000099337	903.309496314424	2.39562081448463	0.361465574247091	6.627521360712	3.41370250818769e-11	2.57216539733843e-09	Upregulated
ENSG00000100033	55.0214985454832	3.94350769169017	0.62409970088588	6.31871427929311	2.63748397551193e-10	1.66436228371367e-08	Upregulated
ENSG00000101342	53.7031368272962	4.13426829787747	0.517096958753075	7.99515105996142	1.29415096534786e-15	1.84904871416918e-13	Upregulated
ENSG00000101347	14134.9917673153	3.85041431110557	0.284873520233419	13.5162239998671	1.25451653364114e-41	1.89996529019951e-38	Upregulated
ENSG00000102554	172.555485416586	2.76380963140476	0.529100311497893	5.22360235166061	1.75475399084936e-07	6.02624698217996e-06	Upregulated
ENSG00000102760	1101.9020999627	3.06952331707271	0.670014452488275	4.58127926296699	4.62140227029564e-06	0.000110396115747047	Upregulated
ENSG00000103196	3096.15933899728	2.6260341339809	0.2674444661529	9.81898848667737	9.32747411486722e-23	3.36344274927772e-20	Upregulated
ENSG00000105963	29.5206783701261	2.13159665319732	0.639258617569611	3.33448246861561	0.000854582872751673	0.00913384446564862	Upregulated
ENSG00000109906	439.541520915421	5.92760001886979	0.428136869478731	13.8451052489051	1.36181139450347e-43	2.57807919621939e-40	Upregulated
ENSG00000112936	1960.88796191052	3.28463983451634	0.591135785656255	5.5564895819492	2.75254141246458e-08	1.15797888032711e-06	Upregulated
ENSG00000116194	246.268169869322	2.12759985233836	0.449994533046406	4.72805711201596	2.26678431874241e-06	5.81872008599216e-05	Upregulated
ENSG00000116285	3268.63191573428	2.44021976886152	0.229391727249045	10.6377845361974	1.98800030832642e-26	1.03821602308978e-23	Upregulated
ENSG00000119138	1717.46623459215	2.1278754711662	0.211771523708519	10.047977338516	9.37723131039936e-24	3.94494911655551e-21	Upregulated
ENSG00000119508	218.387702989375	2.08258665926883	0.339541619958514	6.13352395362691	8.595346947798e-10	4.91232186884531e-08	Upregulated
ENSG00000120129	3440.70375496308	2.9652108028191	0.203695128555544	14.557102194079	5.26424315691265e-48	1.59453925222884e-44	Upregulated
ENSG00000120162	56.5435318596547	2.00106850454457	0.420702052420526	4.75649807989131	1.96980111807727e-06	5.13470532414462e-05	Upregulated
ENSG00000122035	924.700573288937	2.25826572567644	0.404215602322025	5.58678515303167	2.31311597206767e-08	9.89608514038553e-07	Upregulated
ENSG00000123685	43.7815042516856	2.01829215411483	0.506975956424498	3.98104116879437	6.86140630369687e-05	0.00115334071553262	Upregulated
ENSG00000125148	3695.87946177106	2.19856357088611	0.16700873939814	13.1643624088728	1.40720537787845e-39	1.6393942652284e-36	Upregulated
ENSG00000126803	470.062830404187	2.55666896539784	0.515317932397918	4.96134290049046	7.00074790441427e-07	2.01188476304277e-05	Upregulated
ENSG00000127324	25.3351357594336	3.9053772995121	0.885991755204128	4.40791607435706	1.04369969667774e-05	0.000223260337657972	Upregulated
ENSG00000127954	524.073300326567	4.94729814426576	0.742089798283723	6.66671089631967	2.61599680136672e-11	2.01113053587304e-09	Upregulated
ENSG00000128045	122.042804459596	3.96874622862332	1.03251596962716	3.84376256190637	0.000121162237619382	0.00186301675438043	Upregulated
ENSG00000134243	5569.87422804189	2.21273105769874	0.263689138298924	8.3914380090633	4.80231538919362e-17	8.35989270911923e-15	Upregulated
ENSG00000135604	21.8444407968503	2.51205824593009	0.62426820982616	4.0240047569131	5.7216760521671e-05	0.00098025773540804	Upregulated
ENSG00000135821	19973.4000047829	3.04139431082022	0.275986922698851	11.0200667519994	3.0583219799275e-28	1.92992859941675e-25	Upregulated
ENSG00000136237	117.050766902385	3.15813736169018	0.568677796212639	5.55347401063167	2.80047318670829e-08	1.17163443128997e-06	Upregulated
ENSG00000139132	1181.85578266924	2.0568831551714	0.236523110351977	8.69633057044822	3.42788871531559e-18	7.01559116127764e-16	Upregulated
ENSG00000140807	181.229014001512	2.39364386921081	0.416646114374468	5.74502866252456	9.19054170940066e-09	4.34971106840228e-07	Upregulated
ENSG00000141401	619.513260387526	2.19485412885141	0.237401358423012	9.24533095948222	2.34513816879571e-20	6.34234242257341e-18	Upregulated
ENSG00000143127	254.825348705396	3.11232315157796	0.561355634498344	5.54429840961567	2.95135135870887e-08	1.22460866651084e-06	Upregulated
ENSG00000145390	8772.6510358532	2.38067502360024	0.597790203433032	3.98245908000554	6.82058707995042e-05	0.00114775323695388	Upregulated
ENSG00000150907	688.476650962791	2.30496449497799	0.276331093275742	8.34131428227638	7.34693439634058e-17	1.25021709474807e-14	Upregulated
ENSG00000152583	954.770931565544	4.36835864527066	0.237126791796016	18.4220374770155	8.74489804215248e-76	1.32441480848399e-71	Upregulated
ENSG00000152779	55.6832349115518	2.90646220647389	0.578819684939124	5.02136033396924	5.13068044268111e-07	1.5478915399284e-05	Upregulated
