Sample name	Sex	Biosample ID	Population code	Population name	Superpopulation code	Superpopulation name	Population elastic ID	Data collections
HG03743	male	SAME1839261	STU	Tamil	SAS	South Asian Ancestry	STU	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03750	male	SAME1839309	STU	Tamil	SAS	South Asian Ancestry	STU	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03755	male	SAME1839074	STU	Tamil	SAS	South Asian Ancestry	STU	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG04215	male	SAME1839333	STU	Tamil	SAS	South Asian Ancestry	STU	1000 Genomes 30x on GRCh38
HG04227	female	SAME1839056	STU	Tamil	SAS	South Asian Ancestry	STU	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG04075	female	SAME1840359	STU	Tamil	SAS	South Asian Ancestry	STU	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG04099	female	SAME1840065	STU	Tamil	SAS	South Asian Ancestry	STU	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG04208	female	SAME1839453	STU	Tamil	SAS	South Asian Ancestry	STU	
HG04210	male	SAME1839225	STU	Tamil	SAS	South Asian Ancestry	STU	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03988	male	SAME1839528	STU	Tamil	SAS	South Asian Ancestry	STU	1000 Genomes on GRCh38
HG04228	male	SAME1839161	STU	Tamil	SAS	South Asian Ancestry	STU	1000 Genomes 30x on GRCh38
HG03990	male	SAME1839637	STU	Tamil	SAS	South Asian Ancestry	STU	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03995	female	SAME1839395	STU	Tamil	SAS	South Asian Ancestry	STU	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG04107	male	SAME1839660	STU	Tamil	SAS	South Asian Ancestry	STU	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG04114	male	SAME1839363	STU	Tamil	SAS	South Asian Ancestry	STU	1000 Genomes on GRCh38
HG04204	male	SAME1839437	STU	Tamil	SAS	South Asian Ancestry	STU	1000 Genomes 30x on GRCh38
HG04006	male	SAME1839787	STU	Tamil	SAS	South Asian Ancestry	STU	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG04037	female	SAME1839500	STU	Tamil	SAS	South Asian Ancestry	STU	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG03945	female	SAME1840369	STU	Tamil	SAS	South Asian Ancestry	STU	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03644	male	SAME1839638	STU	Tamil	SAS	South Asian Ancestry	STU	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03682	male	SAME1840323	STU	Tamil	SAS	South Asian Ancestry	STU	1000 Genomes 30x on GRCh38
